area,bedrooms,bathrooms,floors,age,location_score,distance_to_city,price
2085,5,1,1,7,3,24,6120175.316016226
3959,2,3,1,26,2,3,11663743.140387539
3573,3,2,1,19,7,7,10969305.927180134
1521,2,3,1,18,6,6,4755764.710571055
3961,2,1,1,6,1,27,11221112.124328865
3113,3,1,1,13,8,29,9150682.150809051
1629,3,2,2,3,9,1,5746572.276411089
2000,2,1,1,0,1,28,5529148.096887084
1202,3,2,1,26,5,23,3111468.361813821
2949,1,2,1,7,7,19,8828024.097263629
3277,3,1,2,4,2,20,9643264.188801505
2079,3,3,2,28,6,14,6050496.482163518
661,2,2,1,7,8,10,2327174.274283595
701,1,3,2,7,8,2,2674692.6530197323
2481,4,1,2,27,8,11,7379967.250712246
1495,4,3,1,20,6,16,4409061.053487876
2817,5,3,2,23,6,17,8360511.7011528695
1315,3,3,2,6,3,5,4188357.0909821284
3842,3,3,1,28,2,22,10766943.432280542
955,1,1,1,18,5,27,2288386.356341744
1775,4,1,2,3,9,18,5710652.635612317
1516,5,3,1,26,4,16,4242961.782291983
2843,1,1,1,27,5,10,8215073.285396257
3267,3,1,1,28,6,6,9812371.174000286
837,4,2,2,22,6,22,2287604.192807362
1378,5,1,1,19,4,24,3807598.021227956
1576,2,3,2,5,4,8,4973179.667676568
1291,4,1,2,11,8,6,4496804.861150376
2764,5,1,1,17,5,23,7990905.68799753
1263,1,1,2,11,5,4,3879342.6565580023
2735,2,1,1,17,9,5,8584752.065980803
879,5,2,1,2,4,6,3113743.6155409776
992,5,3,1,9,7,15,3200587.3375817137
3612,3,3,1,6,5,6,11188564.372515293
1680,4,1,1,2,9,19,5514772.085611603
2562,3,1,2,27,8,25,7385627.541337652
564,2,2,2,18,8,20,1554863.3063687838
3068,5,1,1,12,3,8,9192587.678502435
1867,3,2,2,29,9,13,5696901.786250986
1652,4,3,2,3,8,4,5683549.69446001
2527,2,3,2,9,3,22,7379410.479519488
3195,1,2,2,5,1,17,9355542.690734472
1995,3,3,1,0,5,14,6263783.198019434
3634,2,1,1,5,4,18,10764538.99871428
1662,1,1,1,7,8,15,5225511.530604822
2022,3,2,2,27,6,22,5573820.81042866
3140,2,3,2,14,5,19,9339806.227319844
891,2,3,1,7,9,11,3101762.940944592
2198,3,2,1,21,6,7,6630886.743856354
918,2,2,2,5,3,1,3072931.6429356122
2836,5,3,1,28,6,3,8729376.550509484
878,3,2,2,18,4,19,2306611.3092056937
2296,2,1,1,13,5,28,6464576.264728837
2778,1,3,1,1,6,1,8918910.643902319
3565,1,2,2,6,9,4,11284980.97931084
2588,5,2,1,7,3,24,7528735.030020194
3599,3,2,1,9,1,11,10620844.768472215
2682,2,3,1,12,2,7,8090046.773706046
700,2,1,1,29,8,7,2122179.1848837165
2363,1,1,1,21,4,14,6748956.456591266
1279,5,3,1,20,7,15,4038485.603813824
3477,1,2,2,19,2,5,10216563.677702062
3604,1,3,2,0,8,14,11241167.81288216
3619,5,3,2,8,9,13,11424373.995604776
1002,3,2,2,26,7,20,2827831.979848577
2954,2,3,2,9,1,26,8290227.139603785
2251,3,1,1,19,2,22,6187147.982691078
1304,4,3,1,1,9,18,4401897.394130872
2646,4,2,2,19,7,1,8404192.428722234
3231,4,3,1,28,3,13,9326290.141708829
2395,5,1,1,10,5,23,7140701.527408591
3273,1,3,1,4,1,29,9284219.251240276
2070,3,3,1,17,3,20,5820991.202237699
1460,2,3,1,6,4,7,4623860.999746489
3160,4,3,2,2,4,6,9934025.113610642
1985,3,2,2,29,7,27,5504470.995821936
3190,4,1,1,15,5,9,9605735.812209055
1528,4,1,2,14,9,28,4530478.248863375
3789,2,1,2,7,7,10,11727938.970660245
1002,5,3,2,19,2,22,2706275.1187014845
3314,1,1,2,27,8,3,10069022.385631949
897,5,2,1,26,2,7,2474196.8941378877
1370,3,3,2,4,7,25,4187570.1603970304
3342,5,3,1,2,5,11,10405978.891604545
892,3,1,2,28,6,26,2110887.7648637644
706,3,3,2,26,4,12,1855643.2149109894
1538,1,3,1,4,5,12,4759767.137199002
2381,2,1,1,8,5,13,7148722.139388583
3439,1,2,2,26,7,22,9954629.527412213
1984,5,2,2,15,4,23,5765024.176231114
1363,3,1,1,28,5,8,3953875.9310945324
3290,4,2,2,13,4,4,10158302.877108552
3812,4,2,1,17,4,21,11192907.733701313
1063,3,2,1,6,8,20,3338094.696458107
1520,1,3,1,14,5,1,4809492.103047013
595,2,3,2,25,9,6,2047461.597339293
2423,1,3,1,7,5,23,6985250.813883941
2257,3,2,1,2,8,2,7488209.652131129
3032,3,3,2,10,3,22,8825731.152860258
3978,2,2,1,19,7,14,11817916.448531458
2778,5,1,2,28,1,27,7513481.169052123
3296,5,2,2,26,5,18,9626311.651905842
2178,2,3,1,25,2,10,6116333.83395517
3742,5,2,2,17,8,29,11039064.95897821
1040,4,3,2,14,6,21,3193901.4707936104
1559,5,3,2,9,5,1,5179703.440720117
3072,5,1,1,28,3,3,9094158.618433535
1683,5,1,1,24,1,20,4493114.36181098
2222,4,3,1,2,8,4,7464923.748408331
3814,5,2,2,14,5,18,11396914.139308704
3657,4,1,1,24,9,8,11180080.54171631
2319,2,1,1,28,7,22,6534677.583889924
3125,1,3,2,22,1,9,9014899.048898987
3229,2,2,1,5,1,22,9326041.74963436
3104,1,1,2,10,7,19,9227323.1020433
2097,2,1,1,27,7,28,5669717.505345393
3560,1,2,2,10,9,2,11242422.15545813
3193,1,1,2,18,2,9,9278390.051459873
1295,3,2,2,26,7,3,4078219.948977662
1551,1,3,2,22,2,22,3970162.127748169
2143,1,1,1,26,2,26,5567826.241352269
1863,3,3,2,29,5,2,5569388.401874961
2481,5,2,2,2,9,7,8259527.395298886
1854,5,3,2,12,9,17,5906341.135172883
2163,3,3,2,26,1,25,5720741.481816821
2029,4,3,2,21,7,17,6028337.136076021
2538,1,2,2,7,3,9,7640599.474008357
3919,1,2,1,20,1,27,10935268.129523247
1996,3,2,2,10,2,1,6256292.006568877
3802,3,2,1,10,6,1,11846105.501937607
2737,4,2,2,12,2,8,8190091.564299986
3796,5,1,2,2,2,17,11463769.489580188
1908,2,1,1,5,4,8,5891349.18523813
1900,5,1,2,23,3,19,5326548.885403187
1806,1,3,2,9,8,4,5890958.665536455
3180,3,3,1,18,8,18,9563948.660013802
3175,4,2,1,11,6,13,9701448.59160194
1472,5,2,1,28,4,22,3976479.044909347
2268,4,1,1,13,7,7,7086608.075917148
1782,5,2,2,10,9,26,5482175.17787489
3930,1,3,1,26,2,3,11503256.02108041
1209,2,2,1,20,6,14,3429107.6629201323
1979,4,1,1,24,7,9,6026386.671320974
1934,4,2,2,29,1,3,5586559.653502778
1148,2,3,1,29,6,7,3353895.550777242
817,4,1,2,25,8,15,2567012.7886438426
3796,4,2,2,9,7,4,11972004.165768668
1757,5,3,2,2,2,5,5733257.149325041
1183,5,1,2,12,2,28,3112052.2179567437
1163,2,1,1,27,4,9,3146577.8109270036
2498,1,3,1,26,5,3,7357061.8943496505
3945,4,2,2,17,5,16,11800314.753097255
2131,1,2,1,26,2,16,5790050.822477105
1995,2,2,1,12,7,19,6006481.666172651
3804,2,1,1,29,8,25,10911858.995894818
1636,5,1,1,23,2,9,4716340.08358601
2353,4,2,2,13,4,29,6629104.600862854
2020,3,1,1,29,3,20,5414508.155098431
2989,2,1,1,13,4,1,9159543.190595651
1063,4,3,2,6,5,17,3396232.5358360717
1791,1,2,1,11,6,12,5463999.663126196
3957,5,2,1,24,2,9,11682780.811791206
3958,1,2,1,3,6,22,11839566.828176359
3684,2,1,2,15,9,5,11529027.495360902
2136,2,1,1,18,8,29,6050386.413901102
3499,1,1,1,9,1,28,9806484.710052744
3652,2,2,2,15,9,15,11229988.451768069
1198,4,1,1,4,2,26,3134261.735885784
2660,2,2,2,26,1,13,7473775.619866617
501,5,1,2,15,6,19,1538454.4725796492
1141,4,2,2,0,1,3,3736961.809233847
2767,3,3,1,4,6,2,8871936.358410548
2089,2,1,1,12,2,13,6011331.69645968
1354,2,2,1,12,7,7,4326327.446593187
2259,5,3,1,2,7,9,7378838.318771033
3796,5,3,1,16,4,22,11197041.988857066
2932,1,1,2,18,2,10,8456368.7811669
3974,1,2,2,4,7,1,12496773.039942281
2161,1,1,2,4,1,22,6015538.305850787
1653,5,3,2,14,2,16,4808264.607161597
1576,1,1,1,9,2,11,4478691.239211051
2207,1,2,2,11,1,24,6068758.669664021
3277,3,3,2,23,9,8,10069022.105033824
2195,1,1,1,10,6,26,6205355.312376529
2233,2,1,2,0,3,13,6724531.867678509
1939,5,1,1,22,6,16,5665387.045261361
2794,4,1,1,20,7,3,8718575.86664384
1335,3,1,1,2,3,13,4146805.7232555947
702,5,3,2,3,4,17,2304086.4145025173
3755,5,3,2,18,1,21,10795328.253241751
622,2,2,2,23,6,6,1900966.4929773177
900,1,1,2,19,6,10,2719294.8399696364
1266,2,2,2,2,9,9,4414462.463845844
793,1,3,2,17,2,18,1875951.8218748188
2827,1,1,1,2,5,17,8577189.826461181
3431,5,2,1,6,5,7,10680080.516078085
697,1,1,2,21,7,2,2244302.955949393
3529,3,1,2,25,5,11,10480588.602092542
2430,3,2,1,27,4,18,6843846.842570142
3299,3,3,1,28,2,3,9746452.869378328
2691,5,2,1,20,8,14,8226138.090574466
1108,2,2,2,23,5,20,2950262.290579893
3772,4,2,2,26,4,13,11067194.700302046
1647,1,1,2,0,9,23,5163692.2610378945
686,4,3,1,18,2,17,1741044.6844317755
3897,2,3,2,17,3,29,11070795.00550644
3011,2,1,2,1,8,22,9148455.172136059
3920,5,3,2,27,4,11,11668772.115245622
2294,3,2,2,26,9,7,7123159.789634906
1159,3,3,2,11,9,3,4118809.468080273
3311,2,1,2,16,9,3,10425314.27135475
3502,5,3,1,20,1,2,10513468.285689732
2455,5,1,2,20,6,21,7241822.428895152
2950,1,2,1,2,6,16,8979761.269182185
1869,3,1,1,11,8,23,5512652.794901408
2486,2,3,1,27,7,11,7428295.328339098
2034,4,2,2,24,7,28,5770955.15468795
646,3,3,2,11,2,14,1761673.691494668
3719,1,1,2,5,4,3,11399360.401549678
3411,5,2,2,29,1,7,9966684.844937727
2234,2,1,1,9,7,8,7057563.802986383
2343,3,3,2,29,4,13,6738366.398161854
988,4,1,1,21,9,19,3005909.7720917794
3476,1,3,2,25,6,11,10375401.813873783
2459,1,3,2,5,6,1,7972024.0811294
2163,3,2,1,13,9,19,6647188.00434995
3098,4,2,1,1,8,13,9841949.023024924
2885,1,1,1,10,6,22,8396063.674919082
3419,2,3,2,14,6,17,10239423.204707304
1140,1,3,1,25,6,9,3315321.4754727604
2302,4,2,1,25,4,19,6490032.169321527
3020,5,2,1,7,5,19,9078663.369171115
2469,5,2,2,21,3,28,6885021.710166137
2698,3,2,1,12,9,23,8070583.859803928
1938,4,1,1,29,2,23,5144505.595553911
3869,1,1,2,18,7,29,11169133.340290634
2134,1,1,1,9,1,6,6315119.198690273
762,5,1,1,8,7,7,2717026.808572437
2287,5,2,1,17,2,5,6860847.368116234
2691,2,1,2,6,5,8,8342380.16276392
2893,5,1,1,2,1,26,8453644.714698419
1123,2,1,1,11,5,14,3328293.923451534
1516,1,2,1,14,4,18,4206657.421728958
1380,2,3,1,21,1,21,3538689.149098454
2549,2,2,1,20,1,27,6788442.661774485
3444,3,3,1,12,7,25,10302097.1635982
1827,5,3,1,5,3,20,5524086.041584022
2801,2,1,2,7,9,24,8465089.967726849
952,1,1,2,13,9,3,3304765.343331416
3608,4,1,2,2,9,22,11148451.863726007
1683,2,2,1,15,1,8,4838013.098468213
3562,5,2,2,17,4,14,10689468.797998562
2556,3,1,1,23,1,25,6787253.958431269
3804,1,2,1,16,1,14,10987931.323386144
3670,3,2,1,17,9,29,10820103.60473913
2182,4,3,2,9,5,7,6850076.5798224555
3363,2,2,2,16,1,6,9959495.179244898
2755,2,3,1,15,3,27,7809208.6621066695
1654,5,1,1,20,7,6,5227518.382886915
903,2,2,2,23,2,12,2398866.229161461
2699,1,3,2,1,4,22,8068047.246960427
2601,4,2,2,19,2,15,7569616.580059306
3691,3,3,2,3,9,26,11336251.254609438
2196,4,3,2,10,9,25,6751941.3431387935
1127,2,2,2,26,7,19,3078901.668733242
1086,3,1,2,6,7,4,3941754.314834078
2148,5,3,1,16,2,3,6577633.842751992
1943,4,1,1,24,8,13,5861694.386638796
1945,3,2,2,18,1,25,5264318.190791028
603,3,2,2,5,8,16,2064321.0594275913
753,3,1,1,9,5,13,2352786.922900066
3798,1,2,2,29,4,21,10826390.680271005
3683,4,3,1,20,2,10,10935105.15403515
3057,3,1,1,3,3,13,9244659.821384853
1996,4,2,2,24,2,8,5737692.202989593
598,3,2,1,26,4,12,1548943.7908208445
2700,5,1,2,27,3,8,7874460.57810581
2384,5,3,2,29,5,9,7192361.958709987
3461,5,1,1,24,7,10,10502065.367393829
2419,2,2,1,0,9,7,7893077.0843493
1377,3,2,1,6,5,3,4589971.867347869
837,2,1,2,25,8,5,2648283.0039929175
3369,4,3,2,24,2,3,10066994.16874339
3734,2,3,2,20,6,18,11078065.039436884
1456,4,3,2,15,8,19,4520389.46598338
2204,4,1,2,16,9,28,6520946.466819046
660,4,3,2,23,4,10,1888741.0202262837
2103,2,3,2,4,4,9,6601220.428724431
3348,3,3,1,21,7,25,9771169.014493065
897,2,3,2,22,4,24,2253497.5266840635
1800,3,2,1,9,5,7,5616379.422285718
1315,3,1,1,6,2,1,4111300.1005257377
2027,4,1,2,12,2,25,5721071.0620231405
2419,2,3,1,29,5,10,6953395.934958963
1915,3,1,1,27,2,2,5487383.838959093
1658,5,1,1,6,6,6,5473508.59561006
1718,3,2,2,14,6,26,5024235.06949454
900,5,1,1,16,8,21,2753409.581652738
1139,2,2,2,22,1,6,3084096.0878111944
3604,2,1,2,26,7,24,10346747.354730327
3235,2,2,2,2,7,8,10194850.010730445
959,3,2,1,4,9,26,3059073.881880479
1454,1,1,1,9,4,18,4084695.9866371476
969,3,2,2,4,7,7,3387260.6719338843
3946,3,2,2,23,6,18,11635027.24231824
1545,4,1,2,6,4,1,5115492.488975904
3297,4,2,1,6,8,28,9866472.8005888
2193,3,2,1,21,3,24,5900803.230644212
2585,5,2,1,22,8,25,7595224.362443503
2777,4,2,1,13,5,14,8506992.547826739
3936,3,2,1,22,4,23,11299830.240834987
1062,1,3,1,14,3,20,2854987.7514757947
2985,5,2,1,4,7,7,9488838.919146733
2299,2,2,2,4,7,20,7053168.665520794
3854,3,2,1,3,6,7,12051620.969819231
2574,3,2,2,29,3,4,7535444.026327322
725,5,1,1,19,9,25,2060228.4657760097
3848,4,3,2,20,2,5,11532077.134246536
1297,4,1,1,25,3,23,3337009.017966792
2831,4,3,1,8,1,27,8156713.64713567
3426,2,2,1,29,7,24,9721244.75999118
1459,5,2,2,26,2,21,3879308.206217323
2004,5,3,1,11,8,1,6664705.643568437
952,4,3,1,15,9,20,3024116.9965170524
3567,4,1,2,21,2,3,10613088.336446114
1315,1,3,1,7,6,13,4046560.292378919
1158,1,2,1,8,1,7,3440014.0674311016
1046,3,1,2,11,8,6,3591315.5499834926
1715,3,3,1,29,5,6,4980501.523841723
3620,5,3,2,19,9,2,11471643.012334116
516,5,1,2,27,3,16,1211003.591291063
3743,2,3,2,28,2,6,10939585.023978166
1743,2,2,1,6,7,8,5622328.365173617
2705,1,1,1,20,7,21,7895316.483027059
3024,3,3,2,3,5,25,9105668.832391577
1569,1,2,2,27,7,11,4641860.37966777
3944,1,3,1,22,6,18,11561372.076738978
3065,3,1,1,2,9,23,9473804.962879213
2646,2,3,1,0,3,6,8193540.692887058
2268,3,3,2,6,4,14,6971293.232117384
1560,4,3,1,8,9,15,5183025.9143437855
2827,4,2,2,1,8,11,9096987.026712356
3920,4,2,2,6,6,27,11704125.482357997
3044,5,3,1,9,3,15,9233748.355096228
801,2,3,1,1,9,13,2878472.0585123054
680,2,1,2,12,9,6,2604550.749911474
1106,5,3,2,28,6,4,3514764.1665087338
3670,1,1,1,2,2,14,10800149.501286464
1199,4,2,2,12,7,13,3884545.0511361207
1492,4,3,1,9,9,10,5076665.268201573
1639,1,1,1,29,9,25,4518291.099113396
690,3,2,2,11,3,22,1801848.834648079
2800,3,1,2,25,2,29,7582569.863629144
1480,2,2,1,2,5,12,4706162.542493109
3475,5,3,2,27,7,24,10097649.098919075
2506,2,1,2,28,3,8,7150305.3520838665
1684,3,3,1,19,4,20,4696761.315028227
3827,1,1,2,5,2,5,11598266.7228792
3894,2,2,1,2,2,2,11888201.124217069
627,4,1,2,28,7,20,1585770.1996336507
2565,4,1,1,24,2,12,7302529.1517757485
2316,1,3,2,1,1,6,7026774.531519654
2258,3,3,2,22,4,15,6612471.25792006
3113,4,3,2,21,6,18,9235696.903866326
1069,4,2,2,13,4,18,3144406.242578108
1846,5,3,2,14,1,10,5471922.184121715
2395,2,1,2,17,1,7,6949564.969586874
3233,3,2,2,26,9,10,9839741.641450398
1125,2,3,2,18,1,5,3136366.9919116884
3859,3,1,1,21,7,16,11408121.984298429
3401,4,1,2,9,7,29,10035959.488813257
2186,5,2,2,19,1,19,6217606.6850918
3509,2,1,2,16,1,3,10476403.095162202
654,4,3,2,16,6,7,2232368.6659951783
3037,3,1,2,18,8,19,9118396.839289863
1909,2,3,1,23,7,12,5652147.7510018125
1284,2,3,1,26,6,10,3746256.2952348297
3675,4,2,2,3,3,5,11372278.94856781
3964,2,1,2,10,7,29,11641271.160208542
745,5,2,2,16,6,2,2705079.179298746
3747,5,2,2,23,8,3,11672076.430774799
3610,4,2,1,9,4,14,10842518.76679234
2000,3,3,2,21,9,15,6240765.950311451
2205,4,3,1,16,1,20,6287244.138962846
3306,5,3,2,11,7,13,10288935.06472718
1037,1,3,1,9,9,17,3346335.263680007
2390,1,1,1,9,1,20,6796617.698421394
2341,2,1,1,5,3,4,7233158.450384819
1420,2,3,2,16,7,19,4157131.769140108
2955,1,3,2,25,9,26,8567156.074745568
1024,5,1,2,25,1,15,2609719.0905475924
3375,2,2,2,18,6,15,10027863.077238593
2029,4,2,2,1,2,9,6344171.182561065
3450,4,3,1,3,5,3,10870940.79006794
535,5,2,1,17,7,2,2096734.8735301842
1184,2,3,1,26,7,7,3545726.839188106
519,4,3,2,28,7,9,1577084.2616369345
2868,2,3,1,20,4,22,8227406.131384075
3059,2,1,2,3,6,5,9608418.5903595
899,4,2,1,5,6,17,2931865.5632857573
3201,1,1,2,13,7,3,9870922.69610993
1471,4,2,1,6,9,9,4988853.738681206
2406,5,1,2,11,6,8,7610587.5965301925
3018,3,1,1,1,1,9,9060264.264869357
1666,4,3,1,17,8,24,4971004.756658092
1615,2,3,1,23,2,17,4389744.8388546705
3925,2,1,2,12,3,24,11372824.240923196
1333,4,2,1,12,5,8,4182089.8636902752
2323,3,2,1,24,6,21,6603023.690179917
3274,4,3,1,4,7,14,10174119.336521175
2482,3,3,2,6,4,22,7332041.574012589
1353,3,2,1,28,3,16,3600441.6708966857
550,5,2,2,11,9,18,1953404.1499991773
1074,2,2,1,24,4,17,2782319.909019346
3761,2,3,1,13,9,24,11291846.963506198
1648,3,2,2,0,9,7,5670389.085730063
2697,2,3,2,23,3,20,7576719.65429227
2861,1,1,1,9,3,15,8417743.853837911
3117,3,1,2,25,8,27,8965373.169563977
3913,2,1,2,24,1,28,10847877.75817102
2852,1,2,2,8,6,7,8805070.357209524
2215,5,3,1,9,6,2,7186215.744279909
1181,2,2,1,6,9,27,3511515.715042316
1337,1,3,1,15,2,2,3981782.7336339555
1577,4,2,2,27,8,7,4851235.518719312
3550,4,1,2,27,7,19,10449456.139459735
2991,1,3,2,11,2,6,8948286.003516523
3160,3,2,2,11,1,28,8872136.66654995
3540,3,3,1,25,4,12,10323192.073531957
2811,2,3,2,18,2,15,7992940.998805207
3624,4,2,1,28,3,13,10529664.18839036
2095,3,2,2,12,2,7,6297312.8098655
3551,3,3,1,20,9,7,10995869.066251272
504,4,3,1,28,4,15,1211816.9205211068
1626,5,1,2,17,1,26,4397060.121952481
1719,3,3,2,26,8,4,5369108.336735152
1273,1,1,2,25,4,3,3652957.593061592
1376,2,1,1,2,8,1,4819368.735013012
1491,3,1,2,25,8,7,4654767.964383432
3431,3,3,1,6,9,9,10861058.802684762
3921,5,1,2,0,7,1,12486515.053821955
546,1,3,1,2,4,5,1821678.6997011884
3414,2,3,2,20,2,15,9873085.553017516
3370,3,2,1,26,6,4,10214245.49400234
3483,2,3,1,13,4,10,10520813.40064756
3203,4,3,1,3,6,2,10163603.233074762
768,3,1,2,18,8,23,2212271.628576355
869,3,3,1,21,3,7,2524182.759818307
1135,4,3,2,27,1,29,2553439.6890629474
1629,5,2,1,5,5,24,4894037.428022155
2193,3,2,2,19,3,19,6211851.215236134
2182,2,1,2,8,6,6,6808701.405195796
1156,1,1,1,10,3,15,3191825.932320372
619,2,2,1,21,1,20,1307871.0263782674
1330,5,2,2,14,9,12,4444464.842408861
2310,1,3,1,8,5,11,6964419.277268084
1581,2,1,2,28,2,3,4401763.993193373
2474,2,1,2,10,2,20,7149863.63103929
1869,4,3,2,25,9,28,5382531.774606422
1240,5,3,2,9,1,17,3586313.648033445
616,4,1,2,1,3,7,2212626.5174042224
2353,1,2,2,21,7,23,6726989.977028793
3338,4,2,2,13,1,23,9562407.40029524
1650,5,3,2,3,2,18,5011102.301338085
3964,3,1,2,1,6,17,12091590.349078592
2431,3,3,1,4,9,16,7699585.478380011
1512,1,2,2,13,9,25,4550676.375486271
2164,3,2,2,14,8,2,6970841.460421904
1581,4,3,2,18,3,5,4825548.422156339
1133,1,2,1,5,2,21,3170837.561323364
1012,5,1,1,26,1,13,2405630.0301532666
3349,1,3,1,14,9,29,9946961.956604626
1619,1,3,1,13,5,11,4878329.685424147
1641,2,3,1,7,3,24,4646321.432360285
1059,2,2,1,19,5,1,3344550.7263066564
987,1,1,2,11,3,27,2414458.040612278
3808,3,3,1,3,9,23,11648755.704166314
1396,2,3,1,20,1,3,4011693.577930309
3843,5,2,1,5,1,18,11393360.702830553
1712,4,1,1,10,3,21,4902330.784334152
1203,2,3,1,22,6,4,3703813.6053811433
1970,1,2,2,21,2,29,5137037.8916075835
1080,3,3,2,6,1,9,3325852.2639121367
3337,4,2,1,24,8,11,10043610.19901134
3408,2,1,2,3,9,17,10494246.420665294
2794,3,2,1,25,1,11,7888093.567034724
3647,3,3,2,14,3,3,11049396.363250349
653,3,3,2,0,5,19,2207256.6302831126
2179,1,2,1,8,7,20,6484671.537720179
1496,5,1,1,22,4,23,4099019.834962907
3657,3,1,1,19,6,21,10699196.790782206
3244,4,3,2,25,1,11,9442412.364351813
3856,2,3,2,7,4,26,11306205.719311098
1743,4,2,1,11,8,14,5440616.023744888
1592,1,2,1,6,5,6,4971335.486128571
3618,1,2,2,27,8,19,10451262.289528264
1508,4,1,1,17,1,21,3923556.7536099115
2641,5,1,2,0,9,29,8204995.706123308
2273,1,3,2,8,4,15,6793706.701665479
1457,1,3,1,6,9,28,4332447.220248987
3559,4,3,2,13,8,11,11063431.375117026
952,1,2,2,25,8,18,2576338.719697261
1727,5,1,2,0,2,4,5614788.939711438
3459,5,3,2,12,3,28,10056745.799115365
2765,5,3,1,19,9,19,8476371.369485822
3021,2,3,2,14,3,3,9211468.23852161
2979,5,3,1,4,8,12,9511169.912727226
2888,5,3,2,4,5,4,9206616.356638843
1050,2,3,1,13,7,24,3023891.286207035
2135,3,1,2,13,4,12,6406881.289883315
1812,1,3,2,13,8,24,5322367.493775693
3825,5,1,1,4,4,1,11985909.343193049
2257,1,2,2,10,5,28,6338429.978107216
856,4,1,1,18,1,16,2175451.098419465
2570,1,2,2,4,8,21,7870353.570318598
2285,2,1,1,3,7,2,7479545.803564919
3069,1,1,1,14,5,26,8843154.924576527
2281,1,3,2,20,6,22,6520314.4656078685
3671,1,1,2,6,1,3,11073533.913136886
3349,3,1,2,4,8,28,10104287.217721766
3751,3,3,2,29,9,16,11209260.111210931
3794,4,2,2,14,5,26,11053227.601630857
3309,2,3,2,29,7,10,9800219.368078869
2989,1,3,2,13,4,29,8455318.891707314
2131,1,3,2,23,6,29,5861470.985637042
